Comuna,Población Total,Contagiados a la Fecha,Activos,Tasa
Corral,5447,1941,6.0,35542,5
Futrono,15261,6550,55.0,42697,1
La Union,39538,12500,54.0,31549,4
Lago Ranco,10292,3864,7.0,37543,7
Lanco,17652,7017,17.0,39678,2
Los Lagos,20518,7112,18.0,34598,9
Mafil,7389,3025,15.0,40803,9
Mariquina,23250,8845,23.0,37995,7
Paillaco,20798,6349,13.0,30512,5
Panguipulli,35991,14135,48.0,39170,9
Rio Bueno,32925,9157,32.0,27754,0
Valdivia,176774,71070,147.0,40158,6
Desconocido Los Rios,0,45,0.0,
Ancud,42458,10445,30.0,24567,8
Calbuco,36744,9500,13.0,25841,0
Castro,47607,14020,20.0,29426,3
Chaiten,5020,1070,4.0,21294,8
Chonchi,16013,3802,1.0,23749,5
Cochamo,4006,954,2.0,23789,3
Curaco de Velez,4066,1016,2.0,24963,1
Dalcahue,15069,3886,4.0,25774,8
Fresia,12656,2945,3.0,23253,8
Frutillar,20223,6568,5.0,32458,1
Futaleufu,2806,931,14.0,32858,2
Hualaihue,9525,2133,3.0,22393,7
Llanquihue,18621,5276,9.0,28312,1
Los Muermos,17817,3950,4.0,22158,6
Maullin,14894,3682,0.0,24721,4
Osorno,173410,55726,149.0,32081,8
Palena,1827,728,2.0,39737,3
Puerto Montt,269398,76310,117.0,28302,0
Puerto Octay,9192,2857,3.0,31059,6
Puerto Varas,48620,13020,7.0,26775,0
Puqueldon,4201,1268,1.0,30183,3
Purranque,21080,5813,19.0,27500,0
Puyehue,11787,3784,9.0,32069,2
Queilen,5543,1411,3.0,25401,4
Quellon,29309,7636,10.0,26043,2
Quemchi,8783,2023,2.0,23021,7
Quinchao,8298,1945,3.0,23427,3
Rio Negro,14275,4924,7.0,34472,9
San Juan de la Costa,7639,2581,14.0,33669,3
San Pablo,10553,3692,6.0,34947,4
Desconocido Los Lagos,0,184,0.0,
Aysen,25002,8360,27.0,33373,3
Chile Chico,5121,1904,2.0,37160,7
Cisnes,5828,2256,7.0,38641,0
Cochrane,3685,1383,2.0,37503,4
Coyhaique,61210,21457,48.0,35012,3
Guaitecas,1599,612,6.0,38211,4
Lago Verde,920,186,1.0,20108,7
OHiggins,661,147,1.0,22239,0
Rio Ibanez,2699,676,1.0,25009,3
Tortel,572,191,1.0,33391,6
Desconocido Aysen,0,12,0.0,
Antartica,137,68,0.0,49635,0
Cabo de Hornos,1983,809,0.0,40796,8
Laguna Blanca,264,59,0.0,22348,5
Natales,23782,11265,21.0,47334,1
Porvenir,7323,2701,16.0,36733,6
Primavera,694,98,0.0,14121,0
Punta Arenas,141984,55577,137.0,39086,1
Rio Verde,211,50,0.0,23696,7
San Gregorio,681,146,0.0,21439,1
Timaukel,282,55,0.0,19503,5
Torres del Paine,1021,120,1.0,11655,2
Desconocido Magallanes,0,58,0.0,
